1	00:00:00,000	00:04:54,240
2	00:04:54,240	00:09:37,810
3	00:09:37,810	00:15:43,420
4	00:15:43,420	00:22:45,170
5	00:22:45,170	00:29:05,180
6	00:29:05,180	00:34:02,600
7	00:34:02,600	00:39:08,100
8	00:39:08,100	00:44:58,790
9	00:44:58,790	00:50:20,910
10	00:50:20,910	00:55:15,450
11	00:55:15,450	01:00:08,650
12	01:00:08,650	01:04:28,290
13	01:04:28,290	01:12:12,990
14	01:12:12,990	01:17:09,240
15	01:17:09,240	01:24:33,540
16	01:24:33,540	01:31:59,010
17	01:31:59,010	01:41:08,290
18	01:41:08,290	01:45:35,720
19	01:45:35,720	01:51:54,760
20	01:51:54,760	01:57:24,570
