1	00:00:00,000	00:07:45,130
2	00:07:45,130	00:13:52,540
3	00:13:52,540	00:18:49,140
4	00:18:49,140	00:25:53,200
5	00:25:53,200	00:32:36,990
6	00:32:36,990	00:40:09,300
7	00:40:09,300	00:44:46,960
8	00:44:46,960	00:52:16,300
9	00:52:16,300	00:56:30,020
10	00:56:30,020	01:02:17,710
11	01:02:17,710	01:10:20,890
12	01:10:20,890	01:15:45,860
13	01:15:45,860	01:22:24,000
14	01:22:24,000	01:27:32,730
15	01:27:32,730	01:33:42,480
16	01:33:42,480	01:39:50,880
17	01:39:50,880	01:45:59,450
18	01:45:59,450	01:52:52,410
19	01:52:52,410	02:01:09,770
20	02:01:09,770	02:04:51,750
