1	00:00:00,000	00:05:55,540
2	00:05:55,540	00:11:47,990
3	00:11:47,990	00:18:48,250
4	00:18:48,250	00:26:32,540
5	00:26:32,540	00:30:50,030
6	00:30:50,030	00:38:03,910
7	00:38:03,910	00:42:14,440
8	00:42:14,440	00:47:08,120
9	00:47:08,120	00:51:58,130
10	00:51:58,130	00:55:56,000
11	00:55:56,000	01:00:52,330
12	01:00:52,330	01:06:32,670
13	01:06:32,670	01:14:00,710
14	01:14:00,710	01:21:13,870
15	01:21:13,870	01:25:42,740
16	01:25:42,740	01:33:14,940
17	01:33:14,940	01:39:14,170
18	01:39:14,170	01:45:13,500
19	01:45:13,500	01:49:59,600
20	01:49:59,600	01:57:33,560
