1	00:00:00,000	00:05:15,680
2	00:05:15,680	00:10:00,390
3	00:10:00,390	00:13:29,700
4	00:13:29,700	00:18:51,310
5	00:18:51,310	00:25:05,030
6	00:25:05,030	00:28:13,690
7	00:28:13,690	00:32:22,460
8	00:32:22,460	00:39:36,700
9	00:39:36,700	00:47:39,860
10	00:47:39,860	00:54:30,040
11	00:54:30,040	01:01:59,910
12	01:01:59,910	01:09:12,640
13	01:09:12,640	01:14:28,180
14	01:14:28,180	01:19:34,900
15	01:19:34,900	01:24:12,650
16	01:24:12,650	01:28:14,760
17	01:28:14,760	01:36:13,980
18	01:36:13,980	01:43:12,600
19	01:43:12,600	01:48:25,950
20	01:48:25,950	01:52:59,460
