1	00:00:00,000	00:04:36,550
2	00:04:36,550	00:11:18,590
3	00:11:18,590	00:15:38,870
4	00:15:38,870	00:20:36,730
5	00:20:36,730	00:24:35,520
6	00:24:35,520	00:32:51,420
7	00:32:51,420	00:39:00,770
8	00:39:00,770	00:43:46,730
9	00:43:46,730	00:48:40,850
10	00:48:40,850	00:56:00,950
11	00:56:00,950	01:04:05,410
12	01:04:05,410	01:11:12,450
13	01:11:12,450	01:18:35,680
14	01:18:35,680	01:25:42,910
15	01:25:42,910	01:30:31,740
16	01:30:31,740	01:37:18,180
17	01:37:18,180	01:42:05,230
18	01:42:05,230	01:48:05,490
19	01:48:05,490	01:53:02,440
20	01:53:02,440	01:59:45,260
