1	00:00:00,000	00:05:20,400
2	00:05:20,400	00:10:09,690
3	00:10:09,690	00:15:13,900
4	00:15:13,900	00:20:59,440
5	00:20:59,440	00:28:59,870
6	00:28:59,870	00:35:48,440
7	00:35:48,440	00:40:20,880
8	00:40:20,880	00:45:52,970
9	00:45:52,970	00:53:54,410
10	00:53:54,410	00:58:28,960
11	00:58:28,960	01:02:02,900
12	01:02:02,900	01:06:33,900
13	01:06:33,900	01:14:04,950
14	01:14:04,950	01:18:52,370
15	01:18:52,370	01:24:55,360
16	01:24:55,360	01:32:08,310
17	01:32:08,310	01:37:36,010
18	01:37:36,010	01:43:08,110
19	01:43:08,110	01:48:12,480
20	01:48:12,480	01:55:26,450
