1	00:00:00,000	00:07:34,520
2	00:07:34,520	00:14:36,540
3	00:14:36,540	00:22:13,680
4	00:22:13,680	00:29:01,010
5	00:29:01,010	00:35:26,340
6	00:35:26,340	00:42:03,450
7	00:42:03,450	00:47:25,740
8	00:47:25,740	00:55:49,800
9	00:55:49,800	01:02:06,160
10	01:02:06,160	01:07:31,530
11	01:07:31,530	01:15:56,140
12	01:15:56,140	01:21:42,400
13	01:21:42,400	01:28:03,340
14	01:28:03,340	01:32:49,190
15	01:32:49,190	01:37:21,930
16	01:37:21,930	01:43:55,370
17	01:43:55,370	01:48:44,120
18	01:48:44,120	01:53:43,830
19	01:53:43,830	02:00:11,720
20	02:00:11,720	02:06:45,990
