1	00:00:00,000	00:03:46,120
2	00:03:46,120	00:12:07,620
3	00:12:07,620	00:18:26,260
4	00:18:26,260	00:22:22,320
5	00:22:22,320	00:29:51,730
6	00:29:51,730	00:35:11,010
7	00:35:11,010	00:42:57,280
8	00:42:57,280	00:48:38,470
9	00:48:38,470	00:55:09,600
10	00:55:09,600	01:00:55,810
11	01:00:55,810	01:06:28,810
12	01:06:28,810	01:11:46,250
13	01:11:46,250	01:17:19,260
14	01:17:19,260	01:21:59,310
15	01:21:59,310	01:27:25,220
16	01:27:25,220	01:31:48,670
17	01:31:48,670	01:37:11,420
18	01:37:11,420	01:41:13,030
19	01:41:13,030	01:47:34,450
20	01:47:34,450	01:51:22,400
