1	00:00:00,000	00:05:54,320
2	00:05:54,320	00:11:22,000
3	00:11:22,000	00:18:38,880
4	00:18:38,880	00:23:39,910
5	00:23:39,910	00:28:56,520
6	00:28:56,520	00:35:06,560
7	00:35:06,560	00:40:05,210
8	00:40:05,210	00:47:19,840
9	00:47:19,840	00:52:19,100
10	00:52:19,100	00:59:06,630
11	00:59:06,630	01:04:32,870
12	01:04:32,870	01:09:02,560
13	01:09:02,560	01:16:27,410
14	01:16:27,410	01:23:18,390
15	01:23:18,390	01:28:51,300
16	01:28:51,300	01:35:57,790
17	01:35:57,790	01:42:11,000
18	01:42:11,000	01:45:53,870
19	01:45:53,870	01:53:13,630
20	01:53:13,630	01:59:19,310
