1	00:00:00,000	00:05:38,340
2	00:05:38,340	00:10:19,320
3	00:10:19,320	00:14:35,240
4	00:14:35,240	00:22:35,160
5	00:22:35,160	00:29:14,450
6	00:29:14,450	00:36:12,790
7	00:36:12,790	00:42:12,940
8	00:42:12,940	00:50:18,790
9	00:50:18,790	00:56:21,700
10	00:56:21,700	01:00:23,210
11	01:00:23,210	01:05:55,280
12	01:05:55,280	01:10:25,930
13	01:10:25,930	01:19:34,620
14	01:19:34,620	01:26:06,130
15	01:26:06,130	01:33:56,890
16	01:33:56,890	01:39:50,440
17	01:39:50,440	01:46:37,300
18	01:46:37,300	01:51:47,450
19	01:51:47,450	01:58:46,740
20	01:58:46,740	02:06:29,100
