1	00:00:00,000	00:04:14,290
2	00:04:14,290	00:11:25,570
3	00:11:25,570	00:18:43,630
4	00:18:43,630	00:24:05,180
5	00:24:05,180	00:31:15,180
6	00:31:15,180	00:34:58,990
7	00:34:58,990	00:41:05,550
8	00:41:05,550	00:45:43,050
9	00:45:43,050	00:50:20,930
10	00:50:20,930	00:57:06,410
11	00:57:06,410	01:01:59,400
12	01:01:59,400	01:08:14,060
13	01:08:14,060	01:12:57,080
14	01:12:57,080	01:18:07,080
15	01:18:07,080	01:23:30,160
16	01:23:30,160	01:31:16,960
17	01:31:16,960	01:36:43,880
18	01:36:43,880	01:44:11,270
19	01:44:11,270	01:50:25,680
20	01:50:25,680	01:54:59,850
