1	00:00:00,000	00:07:58,590
2	00:07:58,590	00:12:25,930
3	00:12:25,930	00:17:00,040
4	00:17:00,040	00:22:57,100
5	00:22:57,100	00:28:42,090
6	00:28:42,090	00:32:15,740
7	00:32:15,740	00:39:51,050
8	00:39:51,050	00:46:43,530
9	00:46:43,530	00:52:49,800
10	00:52:49,800	00:59:18,260
11	00:59:18,260	01:06:11,500
12	01:06:11,500	01:13:33,060
13	01:13:33,060	01:18:41,110
14	01:18:41,110	01:23:07,360
15	01:23:07,360	01:28:41,240
16	01:28:41,240	01:36:14,290
17	01:36:14,290	01:39:56,920
18	01:39:56,920	01:46:38,710
19	01:46:38,710	01:54:30,980
20	01:54:30,980	02:00:09,070
