1	00:00:00,000	00:05:40,830
2	00:05:40,830	00:11:11,790
3	00:11:11,790	00:15:16,040
4	00:15:16,040	00:22:50,240
5	00:22:50,240	00:28:52,940
6	00:28:52,940	00:35:01,980
7	00:35:01,980	00:40:46,460
8	00:40:46,460	00:47:40,900
9	00:47:40,900	00:54:33,700
10	00:54:33,700	01:01:18,540
11	01:01:18,540	01:07:25,950
12	01:07:25,950	01:13:48,820
13	01:13:48,820	01:18:48,240
14	01:18:48,240	01:26:16,620
15	01:26:16,620	01:31:48,740
16	01:31:48,740	01:38:26,730
17	01:38:26,730	01:45:22,620
18	01:45:22,620	01:52:34,250
19	01:52:34,250	01:56:49,990
20	01:56:49,990	02:03:07,760
