1	00:00:00,000	00:07:35,450
2	00:07:35,450	00:13:12,780
3	00:13:12,780	00:21:42,550
4	00:21:42,550	00:26:45,060
5	00:26:45,060	00:32:45,700
6	00:32:45,700	00:39:14,280
7	00:39:14,280	00:46:44,030
8	00:46:44,030	00:51:35,660
9	00:51:35,660	00:59:29,680
10	00:59:29,680	01:07:28,870
11	01:07:28,870	01:14:08,210
12	01:14:08,210	01:19:07,860
13	01:19:07,860	01:23:53,540
14	01:23:53,540	01:30:07,100
15	01:30:07,100	01:37:50,890
16	01:37:50,890	01:46:47,220
17	01:46:47,220	01:52:37,500
18	01:52:37,500	01:59:54,320
19	01:59:54,320	02:04:24,890
20	02:04:24,890	02:09:51,130
