1	00:00:00,000	00:05:21,840
2	00:05:21,840	00:11:05,510
3	00:11:05,510	00:16:31,590
4	00:16:31,590	00:21:22,680
5	00:21:22,680	00:25:07,890
6	00:25:07,890	00:29:40,600
7	00:29:40,600	00:34:58,430
8	00:34:58,430	00:41:50,120
9	00:41:50,120	00:46:42,080
10	00:46:42,080	00:54:29,610
11	00:54:29,610	01:01:09,110
12	01:01:09,110	01:05:07,530
13	01:05:07,530	01:10:55,780
14	01:10:55,780	01:17:06,680
15	01:17:06,680	01:24:25,540
16	01:24:25,540	01:31:30,820
17	01:31:30,820	01:38:50,100
18	01:38:50,100	01:45:37,310
19	01:45:37,310	01:49:49,610
20	01:49:49,610	01:56:54,500
