1	00:00:00,000	00:06:24,400
2	00:06:24,400	00:13:53,630
3	00:13:53,630	00:18:56,040
4	00:18:56,040	00:26:54,900
5	00:26:54,900	00:33:49,290
6	00:33:49,290	00:41:15,170
7	00:41:15,170	00:48:22,000
8	00:48:22,000	00:55:20,910
9	00:55:20,910	01:01:07,900
10	01:01:07,900	01:05:34,790
11	01:05:34,790	01:10:39,220
12	01:10:39,220	01:17:32,630
13	01:17:32,630	01:23:25,660
14	01:23:25,660	01:30:32,760
15	01:30:32,760	01:35:24,340
16	01:35:24,340	01:41:38,720
17	01:41:38,720	01:48:33,960
18	01:48:33,960	01:55:57,360
19	01:55:57,360	01:59:32,450
20	01:59:32,450	02:03:38,770
